id,nombre,resumen_descripcion
39,Espanol: Lengua y Literatura,"Los estudios de Lengua Española son uno de los más antiguos en España. La demanda del español como lengua de relación es cada vez mayor debido a su importancia demográfica, geográfica, cultural y económica. Es el segundo idioma de relación del planeta y las industrias relacionadas con la lengua española suponen más del 10% del PIB en España."
40,Estudios Hispanicos,"El título de Grado en Estudios Hispánicos forma profesionales con capacidad de expresión y comprensión del español, conocimiento de una lengua extranjera y visión global de la realidad lingüística, histórica, cultural y literaria de los países hispánicos. Los egresados poseerán capacidades descriptivas y analíticas para estudiar la lengua española, enseñarla, editar textos y realizar otras actividades relacionadas con el conocimiento de los países hispánicos."
41,Estudios Hispanicos: Lengua Espanola y sus Literaturas,"Este grado enseña a los estudiantes a utilizar la lengua española en contextos profesionales y académicos, analizar la literatura española e introducirse en la investigación lingüística y literaria."
42,Lengua y Literatura Espanola,"El Grado en Lengua y Literatura española se enfoca en el desarrollo humanístico de los estudiantes, proporcionando un perfil profesional definido. Se centra en la formación básica y el razonamiento crítico a través del análisis de datos e interpretación de métodos."
43,Estudios Clasicos y de la Antiguedad,"Este grado combina conocimiento de lenguas y literatura clásica con historia, arqueología y lenguas orientales para estudiar la Antigüedad grecorromana, Egipto y Oriente."
44,Filologia Clasica,"Estos estudios ofrecen formación filológica general y conocimiento profundo de lenguas clásicas. El estudiante conoce civilizaciones griega y latina a través del estudio de sus lenguas y escritos, incluyendo asignaturas obligatorias y optativas para especializarse en lingüística y literatura."
45,Estudios Ingleses,"Adquirirán conocimientos avanzados de la lengua inglesa, incluyendo lingüística teórica y aplicada, literaturas en inglés, historia y cultura de países de habla inglesa. También desarrollarán habilidades para negociar, redactar informes y documentos, manejar información compleja y presentarse públicamente en inglés."
46,Estudios HispanoAlemanes,"El Grado en Estudios HispanoAlemanes es un título interdisciplinar e internacional de 4 cursos que combina lengua, historia, política, filosofía, literatura y cultura alemana y española. Se imparte en la Universidad Complutense de Madrid y Ratisbona, y capacita para una formación de posgrado europea y el mercado laboral internacional."
47,"Lenguas Modernas, Cultura y Comunicacion: espanol, frances o ingles","El Grado en Lenguas Modernas, Cultura y Comunicación ofrece formación en dos lenguas, abordando su conocimiento, literatura y cultura desde una perspectiva multilingüe. Se pueden elegir español, francés o inglés como primera lengua y otras opciones como segunda lengua."
48,Lenguas Modernas y sus Literaturas,"La filología moderna en la UCM cuenta con más de medio siglo de reputación nacional e internacional. La formación debe ser intercultural, incluyendo el conocimiento de varias lenguas y culturas debido a las transformaciones sociales y tecnológicas."
49,Paisajismo,"La educación en paisajismo abarca áreas como historia del arte, botánica, diseño y planificación, gestión ambiental y tecnología."
50,Lenguas Modernas y Traduccion,El Grado en Lenguas Modernas y Traducción forma profesionales polivalentes que pueden actuar como traductores y mediadores en diferentes lenguas modernas. Los estudiantes se forman en dos lenguas (inglés y alemán o inglés y francés) y aprenden técnicas básicas de traducción general y especializada.
51,Traduccion e Interpretacion,"Formación para traductores e intérpretes que abarca problemas lingüísticos como ortografía, fonología, semiología y semántica."
52,Ciencias de la Actividad Fisica y del Deporte,"Formar profesionales del deporte capacitados en teoría y práctica de disciplinas deportivas. Cuidado físico, técnicas especializadas y atención a problemas causados por la práctica inadecuada."
53,Ciencias de la Actividad Fisica y del Deporte,"Formar profesionales del deporte capacitados en teoría y práctica de cualquier disciplina deportiva, incluyendo técnicas especializadas, cuidados y condiciones físicas necesarias."
54,Gestion Deportiva,"El Grado en Gestión Deportiva forma a profesionales en turismo deportivo, marketing deportivo, gestión de centros deportivos y asesoría de instalaciones deportivas."
55,Gestion Deportiva,"El Grado en Gestión Deportiva forma a profesionales en turismo deportivo, marketing deportivo, gestión de centros deportivos y asesoría de instalaciones deportivas."
56,"Ciencias del Trabajo, Relaciones Laborales y Recursos Humanos","La titulación forma especialistas en dirección y gestión de Recursos Humanos, con conocimientos jurídicos, económicos y sociológicos laborales. Se enfoca en la formación adecuada para el campo del trabajo humano, tanto organizativo como relacional."
57,Relaciones Laborales y Recursos Humanos,"Los estudios de relaciones laborales tienen sus orígenes en la década de 1920 con las Escuelas Sociales en España. Estos estudios consolidados se enfocan en perfiles profesionales claros, como directores de recursos humanos y mediadores laborales."
58,Relaciones Labores y Empleo,"La titulación se centra en la formación integral sobre empleo y relaciones laborales. Analiza estas cuestiones vitales para las sociedades europeas desde perspectivas como Economía, empresa, Sociología, Ciencia Política, Psicología y Derecho."
59,Ciencias Politicas,"El Grado en Ciencias Políticas ofrece una formación pluridisciplinar centrada en el análisis de los procesos políticos contemporáneos. Los estudiantes adquirirán conocimientos teóricos y prácticos sobre comunicación política, instituciones, administración pública, partidos políticos y sistemas políticos."
60,Ciencia Politica y Gestion Publica,"Títulos de grado generalistas que combinan ciencia política, administración, economía, derecho, historia y sociología."
61,Ciencia Politica y de la Administracion,"Este grado abarca objetivos generales, teóricos y prácticos en Ciencias Sociales, incluyendo investigación y aplicación de conocimientos."
62,Gestion y Administracion Publica,"El título de Graduado en Gestión y Administración Pública proporciona formación en bases teóricas y técnicas de gestión administrativa y financiera, con especial incidencia en las Administraciones Públicas."
63,Historia y Politica,"El Grado en Historia y Política ofrece una formación interdisciplinar que combina conocimientos históricos con categorías de la Ciencia Política. Se recomienda haber cursado Humanidades o Ciencias Sociales en el bachillerato. Se valoran actitudes como iniciativa, trabajo en equipo y pensamiento crítico."
64,Estudios Internacionales,"Se busca formar especialistas internacionales con base científica sólida y carácter interdisciplinar para desempeñar labores de dirección, gestión y análisis en relaciones internacionales."
65,Bachelor of European Studies (BAES),"Se busca formar especialistas internacionales con base científica sólida y carácter interdisciplinar para desempeñar labores de dirección, gestión y análisis en relaciones internacionales."
66,Sociologia,"El grado en Sociología estudia la sociedad humana, sus colectividades, estructuras sociales y cambios. Proporciona conocimientos sobre grupos sociales, comportamiento y factores que lo provocan."
67,Comercio,"El Grado en Comercio forma profesionales capacitados para desempeñar labores en departamentos de organizaciones. Se enfoca en habilidades como gestión integral, comunicación internacional, dirección de equipos y ventas."
68,Marketing y Comunicacion,El Grado en Marketing forma profesionales con conocimientos económicos y empresariales para desarrollar funciones en dirección y gestión de marketing en instituciones públicas o privadas.
69,CC. Juridicas de las Administraciones Publicas,"El grado estudia el régimen jurídico y la actuación de las Administraciones Públicas, preparando a los estudiantes para acceder y progresar en su seno como funcionarios o personal laboral."
70,Criminologia,"La Criminología estudia la delincuencia y su control. Busca entender los mecanismos para prevenir y tratar la delincuencia, así como desarrollar modelos de prevención y técnicas de investigación y tratamiento."
71,Seguridad,"La criminología estudia la delincuencia y su control. Busca entender por qué, cómo, cuándo y bajo qué circunstancias se cometen actos criminales, así como desarrollar modelos de prevención y técnicas de investigación y tratamiento."
72,Derecho,"El Grado en Derecho proporciona una formación científica en derecho básico y aplicado. Capacita para defender intereses y derechos de personas físicas y jurídicas, elaborar dictámenes legales y asesoramiento jurídico. Se enfoca en la sistematización de información y documentación con sistemas avanzados de tratamiento de datos."
73,Derecho Sorbona (Titulacion Internacional),"El curso aborda los fundamentos históricos, filosóficos y constitucionales de España y Francia, incluyendo la organización constitucional, derechos y libertades, instituciones públicas y privadas. Se cubren temas como el Derecho Administrativo, Civil, Comparado Público y Privado, Mercantil, Penal, Procesal y del Trabajo."
74,"Filosofia, Politica, Derecho y Economia","Formar profesionales con sólida formación en ciencias políticas y economía, con base en análisis crítico y moral."
75,Economia,"Los estudios de Economía se centran en proporcionar una formación científica en economía básica y aplicada, analizando relaciones entre producción, gasto e inversión para interpretar situaciones y resolver problemas prácticos."
76,Economia y Finanzas,"El Grado en Economía y Finanzas forma profesionales con sólida formación en economía, métodos cuantitativos y finanzas para labores de gestión, asesoramiento y evaluación en ámbitos económicos financieros."
77,Direccion Internacional de Negocios,"Los estudios se centran en proporcionar formación científica en economía y análisis económico. Los estudiantes deben tener interés en el funcionamiento de la economía, comercio exterior y entidades públicas o privadas internacionales. Se requiere facilidad para interpretar datos numéricos, capacidad de análisis y síntesis aplicable a información económica."
78,Bachelor in International Business Management,"Los estudios se centran en proporcionar formación científica en economía y análisis económico. Los estudiantes deben tener interés en el funcionamiento de la economía, comercio exterior e instituciones internacionales. Requiere habilidades analíticas, interpretación de datos numéricos y pensamiento creativo."
79,"Finanzas, Banca y Seguros Un","La titulación ofrece formación y capacitación profesional en finanzas, bancos y seguros, adaptada a las demandas españolas y europeas. Se aprende a analizar la situación financiera de empresas e instituciones y a desarrollar estrategias para su gestión. También se aborda el aspecto ético y social de la actividad financiera."
80,Contabilidad y Finanzas,"Estas enseñanzas se centran en formar a profesionales en análisis y gestión de inversiones, banca, auditoría y consultoría. Ofrece una base sólida en finanzas, contabilidad y áreas relacionadas como economía y derecho."
81,Economia Financiera y Actuarial,"La titulación ofrece especialización en finanzas y seguros. Cubre áreas como derecho laboral y mercantil, estadística, contabilidad, economía y matemáticas financieras. Se busca formar graduados con sólidos conocimientos en banca, mercado financiero, gestión de riesgos y financiación empresarial."
82,Analisis de Negocios,"Este grado combina análisis de datos masivos con negocios, administración y tecnología. Los estudiantes aprenden a identificar problemas, analizar grandes cantidades de datos y tomar decisiones informadas. Se enfoca en competencias como liderazgo, trabajo en equipo, pensamiento crítico y resolución de problemas."
83,Business Analytics,"Este grado combina análisis de datos masivos con habilidades en negocios y tecnología. Se centra en establecer relaciones significativas a través del análisis estadístico y la informática. Los estudiantes adquieren competencias en organización, planificación, resolución de problemas y toma de decisiones en entornos de datos cuantitativos y cualitativos."
84,Analitica de Negocio,"Este grado combina análisis estadístico, informática y administración para analizar grandes cantidades de datos en el ámbito empresarial. Los estudiantes aprenden a identificar problemas, diseñar proyectos e informes y tomar decisiones basadas en datos. Se enfoca en competencias como liderazgo, trabajo en equipo, pensamiento crítico y adaptabilidad."
85,Magisterio en Educacion Infantil,"Profesionales que se encargan de la educación infantil en su etapa de mayor crecimiento psicológico y social, trabajando habilidades como expresión, comunicación y observación del entorno."
86,Magisterio en Educacion Primaria,"Profesionales con competencia laboral en educación secundaria, orientan el desarrollo de niños en áreas como arte, idiomas y ciencias sociales."
87,Educacion Social,"La Educación Social responde a necesidades educativas y sociales en áreas como educación de adultos, formación en la infancia y adolescencia, reinserción social y más. Ofrece formación para sectores como justicia, bienestar social, educación y animación sociocultural."
88,Pedagogia,"El título de Graduado en Pedagogía forma profesionales que gestionan cambios y asesoran en educativa. Estudia la parte formativa del ser humano, métodos educativos en diferentes etapas de aprendizaje y procesos para el aprendizaje lógico."
89,Comportamiento y Ciencias Sociales,Este programa multidisciplinario enseña a entender y influir en el comportamiento humano. Combina psicología con otras ciencias sociales para analizar la conducta humana en diferentes ámbitos. Se dirige a personas que desean tener un impacto positivo en las organizaciones y la sociedad.
90,Administracion de Empresas,"El grado aborda aspectos jurídicos y financieros en la gestión de empresas públicas o privadas. Forma profesionales capaces de identificar iniciativas, gestionar empresas, resolver problemas de dirección y realizar asesoría empresarial."
91,Administracion y Direccion de Empresas,"El sitio web ofrece contenido jurídico y económico para formar profesionales en empresas y economía. Aborda aspectos como costes, contabilidad, financiación y toma de decisiones."
92,Direccion y Gestion de Empresas en el Ambito Digital,"El Grado en Dirección y Gestión de Empresas en el Ámbito Digital forma profesionales capaces de desenvolverse en la economía digital. Se adquieren conocimientos para gestionar información, comprender el fenómeno digital y orientar proyectos estratégicos en organizaciones."
93,"Creacion, Administracion y Direccion de Empresas","El objetivo es formar profesionales en planificación, organización, gestión y control para dirigir equipos y proyectos empresariales nacionales e internacionales. Los graduados estarán capacitados para liderar empresas o ampliar proyectos ya existentes."
94,Emprendimiento y Gestion de Empresas,"El Grado en Emprendimiento y Gestión de Empresas forma profesionales para planificar, lanzar y dirigir un negocio con enfoque en creatividad e innovación. Los graduados tendrán conocimientos en producción, finanzas, equipos autogestionados y creación de proyectos. Deberán liderar y ser emprendedores en un contexto colaborativo."
95,Gastronomia,"El Grado en Gastronomía forma a estudiantes para funciones directivas en hotelería, restauración e industria alimentaria. Ofrece formación internacional en tres idiomas con estancia en universidades asociadas y menciones en Alta Cocina y Hoteles y Restaurantes."
96,Gastronomia e Innovacion Culinaria,"El Grado en Gastronomía e Innovación Cu linaria es un título oficial que combina gastronomía, empresa y agronomía. Ofrece dos menciones: Creatividad Gastronómica y Gestión Gastronómica. Los estudiantes aprenden con expertos en un ambiente innovador en Madrid Culinary Campus."
97,Empresa y Tecnologia,"Formar profesionales que entiendan la empresa y desarrollen proyectos, dominando herramientas tecnológicas analíticas e informáticas. Se enfoca en gestión, innovación, internacionalización y sistemas de información para adaptarse al nuevo ecosistema empresarial."
98,Bachelor of Management and Tecnology,"Formar profesionales que entiendan la empresa y desarrollen proyectos con habilidades tecnológicas, especialmente analíticas e informáticas, enfocadas en gestión, innovación, internacionalización y sistemas de información para adaptarse al nuevo ecosistema empresarial."
99,Gestion Empresarial basada en el Analisis de Datos (Business Analytics),"El Grado en Business Analytics proporciona a los estudiantes las competencias necesarias para desarrollar puestos clave en empresas, enfocándose en el análisis y interpretación de datos para la toma de decisiones. Los graduados son especialistas en gestión empresarial con capacidad analítica que pueden aplicar técnicas de estudios de datos para resolver problemas y tomar decisiones informadas."
100,Inteligencia de Negocios Business Intelligence,El Grado en Inteligencia de Negocios combina estudios ADE y Empresariales con Business Data & Analytics. Ofrece formación integral como analista de datos y herramientas técnicas para resolver problemas creativa e innovadoramente.
101,Estadistica AplicadaArea de Estadistica Rama de conocimiento Ciencias Sociales y Juridicas,El Grado en Estadística Aplicada forma profesionales en estadística con un carácter práctico. Los titulados adquirirán habilidades para manejar información cuantitativamente y enfrentar problemas reales a través del aprendizaje de contenidos multidisciplinarios.
102,Estadistica y Empresa,El Grado en Estadística y Empresa forma profesionales que aplican métodos estadísticos para tomar decisiones en entornos empresariales complejos. Los egresados tienen una base matemática e informática y pueden ampliar conocimientos en áreas de gestión empresarial o estadística.
103,Ciencia de los Datos Aplicada,"El Grado en Ciencia de los Datos Aplicada forma a científicos de datos capaces de recopilar, procesar y analizar información con eficiencia. Los estudiantes adquieren habilidades para resolver problemas, identificar patrones en datos y emitir informes técnicos. Se cubren temas como estadística, aprendizaje automático, visualización de datos y diseño de aplicaciones de análisis."
104,Geografia y Ordenacion del Territorio,Los estudios de Geografía y Ordenación del Territorio ofrecen formación científica en geografía básica y análisis territorial.
105,Gestion Urbana,"El Grado en Gestión Urbana forma un perfil emprendedor interdisciplinar que conoce y negocia la complejidad urbana. El graduado puede colaborar con equipos de profesionales para diagnosticar, analizar y encontrar soluciones a problemas urbanos contemporáneos."
106,Bachelor of Urban Management,"El Grado en Gestión Urbana forma un perfil emprendedor interdisciplinar que conoce y negocia la complejidad urbana. El graduado puede colaborar con equipos de profesionales para diagnosticar, analizar y encontrar soluciones a problemas urbanos contemporáneos."
107,Estudios Urbanos,"El Grado en Gestión Urbana forma un perfil emprendedor interdisciplinar que conoce y negocia la complejidad urbana. El graduado puede colaborar con equipos de profesionales para diagnosticar, analizar y encontrar soluciones a problemas urbanos contemporáneos."
108,Gestion Aeronautica,"El Grado en Gestión Aeronáutica se centra en la administración de empresas aeroportuarias y servicios relacionados, como líneas aéreas, handling y catering. El objetivo es que los estudiantes adquieran conocimientos sobre la gestión del sector del transporte aéreo comercial."
109,Informacion y Documentacion,"Este grado selecciona y gestiona la información para su uso por terceros, independientemente del lugar o formato. Se enfoca en el entorno digital actual y las nuevas tecnologías como Internet."
110,Lengua de Signos Espanola y Comunidad SordaArea de Lengua de Signos Rama de conocimiento Ciencias Sociales y Juridicas,"Este grado enseña a los estudiantes sobre la comunidad sorda y sordociega, sus necesidades y cómo incluirse en ella. También se aprenden técnicas de interpretación para personas sordociegas y la lengua de signos española."
111,Comunicacion Audiovisual,"Los estudios de Comunicación se enfocan en la creación y producción de contenido audiovisual a través de medios como cine, televisión y radio. Se profundiza en la persuasión del mensaje y su impacto en el espectador o oyente. Prepara profesionales para los nuevos medios (internet, Web, TV) con orientación especial hacia la educación."
112,Comunicacion y Medios Digitales,"El Grado en Periodismo forma a universitarios para transmitir noticias, redactar artículos y expresarse adecuadamente en diversos medios. El objetivo es formar periodistas con rigor, profundidad e idoneidad para realizar la función informativa."
113,Publicidad,"Las enseñanzas para obtener un Grado en Publicidad cubren la publicidad y relaciones públicas, técnicas de gestión, estructura de medios publicitarios y elaboración de mensajes."
114,Publicidad y Relaciones Publicas,"El título de Graduado en Publicidad y Relaciones Públicas se centra en la creación y diseño de comunicación publicitaria y estrategias de relaciones públicas. Los estudiantes aprenden a elaborar, gestionar y producir comunicación publicitaria y de relaciones públicas."
115,Publicidad Creativa,"El título de Grado en Publicidad Creativa forma profesionales con visión generalista y versátil de la comunicación persuasiva, capaces de realizar tareas como planificación estratégica, creatividad y dirección de comunicación en empresas y organizaciones."
116,Publicidad y Creacion de Marca,"El objetivo es formar profesionales adaptados a contextos digitales y competencia. La creación de marca implica definir acciones que influyen en el valor de la marca, considerando imagen corporativa, colores empresariales e identidad corporativa. Un branding acertado construye un valor distintivo y relevante, facilitando extender la marca en el mercado."
117,Artes Digitales,"Formar artistas digitales capacitados y polivalentes a través del desarrollo integral del proceso de diseño en entornos cambiantes, con interés en diversas formas de expresión digital."
118,Bachelor of Digital ArtsArea de Entorno Digital Rama de conocimiento Ciencias Sociales y Juridicas,"Formar artistas digitales altamente capacitados y capaces de trabajar en entornos cambiantes. El curso aborda el proceso de diseño integral, desde la idea hasta la implementación, con un enfoque en medios como la pintura, la impresión, la fotografía y el dibujo digital."
119,Comunicacion Digital,"El título proporciona una sólida formación en citación técnica, artística y cultural. Los estudiantes adquirirán dominio de la fotografía y perspectiva empresarial para acceder al mercado nacional e internacional."
120,Diseno Digital y Multimedia,"El grado forma a diseñadores altamente cualificados en tecnología, comunicación y arte. Los estudiantes deben ser creativos, permeables al cambio y dispuestos al aprendizaje permanente."
121,Diseno y Gestion de Proyectos Transmedia,Aprende a gestionar proyectos que utilizan la narrativa transmedia para crear mundos e historias que involucran a las personas y motivan el aprendizaje.
122,Gestion de la Informacion y Contenidos Digitales,"El Grado en Gestión de la Información y Contenidos Digitales no requiere un perfil específico ni formación avanzada. Se busca estudiantes con implicación, curiosidad intelectual, capacidad de trabajo en equipo, sentido de responsabilidad y actitud crítica."
123,Gestion de la Ciberseguridad,"La titulación forma profesionales en seguridad de la información que aborden desafíos en defensa de cumplimiento normativo y derecho tecno lógico. Se enfoca en tres áreas: seguridad, tecnología y gobernanza. Ofrece dos menciones: cumplimiento normativo y consultoría de seguridad digital."
124,Creacion y Narracion de Videojuegos,"La titulación forma profesionales con pensamiento crítico y capacidad de expresión, combinando asignaturas humanísticas con técnicas de diseño narrativo, dirección creativa y programación. Se enfoca en el desarrollo de videojuegos y prepara a los estudiantes para trabajar en áreas como el diseño y la informática."
125,Trabajo SocialArea de Trabajo Social Rama de conocimiento Ciencias Sociales y Juridicas,"El Trabajo Social se centra en mejorar las relaciones entre personas y su entorno, detectando y previniendo problemas sociales. Los graduados en Trabajo Social trabajan con individuos, familias y comunidades para informar, orientar y asesorar, coordinando recursos y servicios para promover el bienestar social."
